,X,Y,Z
27.400000000000002,4.80622967022931e-06,4.897448638048049e-06,4.328422305548024e-06
27.5,4.6884102081946605e-06,5.041224898314253e-06,4.204601174627744e-06
27.6,4.318350033870597e-06,4.470780316264305e-06,4.499458023257888e-06
27.700000000000003,4.688185304932775e-06,4.071324567930024e-06,4.4716409178992345e-06
27.8,5.084159019038136e-06,4.784547498230617e-06,5.123729199452723e-06
27.900000000000002,4.793802823845289e-06,4.736900742996671e-06,5.458153467715673e-06
28.0,5.1277340704599924e-06,5.001419128611476e-06,5.888299122014526e-06
28.1,4.490225371168554e-06,4.410039479921738e-06,5.978190571156337e-06
28.200000000000003,4.867542172146451e-06,4.540948165319761e-06,6.279988285595865e-06
28.3,5.363122046264794e-06,5.249622326231881e-06,5.991903158888967e-06
28.400000000000002,5.612697068939101e-06,5.7040277950240245e-06,6.174552090238348e-06
28.5,5.431234103510409e-06,4.856833858740291e-06,6.504034471594664e-06
28.6,5.7434368455655254e-06,4.46001780427179e-06,6.8767808870511165e-06
28.700000000000003,5.966197412323477e-06,4.2444957959082335e-06,6.483417939564244e-06
28.8,5.8263024390780165e-06,4.5424168946258426e-06,6.464046469484087e-06
28.900000000000002,7.066020445728289e-06,4.121297297960975e-06,6.1469735135964075e-06
29.0,7.573426546033769e-06,3.846588240040459e-06,6.120947482484267e-06
29.1,7.640382128444401e-06,3.4198948833148322e-06,5.978881576880822e-06
29.200000000000003,7.948110233440025e-06,2.7235853645828107e-06,5.530712965981618e-06
29.3,7.599745633052972e-06,2.341487842144581e-06,4.997719405494827e-06
29.400000000000002,7.410318707474493e-06,3.357941369208102e-06,5.454135341420053e-06
29.5,8.097560747536408e-06,3.123485948766284e-06,5.201192999862951e-06
29.6,8.222656324217124e-06,2.963914938470669e-06,5.324187151687233e-06
29.700000000000003,8.413036036310555e-06,3.162608347657987e-06,5.733591748916941e-06
29.8,8.00440708006735e-06,2.541406490379552e-06,6.218131627336266e-06
29.900000000000002,7.983041775858974e-06,3.403181981982641e-06,6.081219188957682e-06
30.0,8.555322850139325e-06,3.5562632369422435e-06,6.1725694452775956e-06
30.1,8.714168291251308e-06,2.9568587430745063e-06,6.777914151036998e-06
30.200000000000003,8.566637428378275e-06,2.5313173641923524e-06,6.056326530985817e-06
30.3,8.140004214891941e-06,3.333216262539341e-06,5.852225444986544e-06
30.400000000000002,8.178308157390497e-06,3.2537706964988966e-06,5.639009098927225e-06
30.5,7.02330450276216e-06,2.856565901554648e-06,4.846627905157116e-06
30.6,6.418119524819439e-06,3.4902770650493642e-06,4.498482655402061e-06
30.700000000000003,6.500019692156281e-06,3.1743203074185778e-06,4.650145409570185e-06
30.8,7.2138597992184685e-06,3.0278244514095204e-06,4.582670210964304e-06
30.900000000000002,7.820576945009333e-06,2.801101914521721e-06,4.96323627248656e-06
31.0,8.568753642691133e-06,2.2758162599047876e-06,5.300855498437764e-06
31.1,8.643745730827303e-06,1.8648697852855229e-06,5.505700411276112e-06
31.200000000000003,8.812478788605415e-06,1.8652664479044973e-06,4.989063940857213e-06
31.3,8.737116672437595e-06,1.8290764577239466e-06,5.235534183821783e-06
31.400000000000002,9.20426571055282e-06,1.6063780905509635e-06,4.736157408091139e-06
31.5,9.18927827134257e-06,1.767446336120245e-06,4.711704135630593e-06
